permanent_identifier,gnis_id,gnis_name,areasqkm,longitude,latitude
77251255,00265654,Ruby Lake,0.037683510000000,-119.161026140000004,37.721181639999998
77255609,00263968,Muriel Lake,0.240776080000000,-118.698257110000000,37.234552000000001
77255015,00268613,Upper Honeymoon Lake,0.051000000000000,-118.768228129999997,37.245135280000000
99260353,00223361,Falks Lake,0.050944630000000,-122.433000399999997,40.575007890000002
77252893,00260314,Fourth Recess Lake,0.198021040000000,-118.785653260000004,37.437549570000002
153039122,00219098,Bethany Reservoir,0.664525580000000,-121.606807950000004,37.776745490000003
145152641,01155516,Applegate Lake,3.842736920000000,-123.134437449999993,42.038420199999997
77255333,00268312,Tocher Lake,0.025000000000000,-119.112392090000000,37.168785980000003
77252425,00260806,Grassy Lake,0.043000000000000,-118.962021859999993,37.481581040000002
{703FA5A2-6915-4B81-8477-2B7EC48A5F14},00266682,East Park Reservoir,5.396985010000000,-122.506439850000007,39.329740219999998
{0C3AC9E1-89A5-485A-9F4C-F30AEA1E0D8C},01664675,Senator Wash Reservoir,1.358617820000000,-114.486260070000000,32.908279829999998
77254129,00258742,Corrine Lake,0.030000000000000,-119.495958329999993,37.159416720000003
77252695,00266201,Silver Pass Lake,0.152000000000000,-118.923052100000007,37.458975549999998
77254065,00260396,French Lake,0.247000000000000,-118.717350699999997,37.312514940000000
43055335,00228184,Martinez Reservoir,0.054487920000000,-122.107562799999997,38.009565379999998
27580385,00251898,Zaca Lake,0.069527010000000,-120.039844740000007,34.777696239999997
77256517,00265836,Sapphire Lake,0.148000000000000,-118.694925630000000,37.149543580000000
77251723,00267687,Starkweather Lake,0.015745150000000,-119.073813619999996,37.662933389999999
77251897,00221549,Cora Lakes,0.065000000000000,-119.271250739999999,37.595509890000002
77255409,00264442,Packsaddle Lake,0.125000000000000,-118.740162560000002,37.236436959999999
77252859,00219497,Blue Jay Lakes,0.019000000000000,-118.880326789999998,37.445094179999998
77254841,00265164,Ramona Lake,0.118000000000000,-118.780846859999997,37.248395010000003
77256671,00268772,Wanda Lake,0.720272200000000,-118.692285549999994,37.117890050000000
77252509,00262797,Lake of the Lone Indian,0.056000000000000,-118.937221179999995,37.475453539999997
77253291,00268644,Upper Twin Lake,0.083000000000000,-119.158888020000006,37.295696730000003
77252959,00267320,Snow Lakes,0.064000000000000,-118.790559700000003,37.417475480000000
77254271,00225246,Hidden Lake,0.034000000000000,-118.984990030000006,37.249160459999999
77254245,00265750,Sallie Keyes Lakes,0.074000000000000,-118.874361739999998,37.271281469999998
27836424,00271966,Lake Mathews,8.686395360000001,-117.437507999999994,33.841167540000001
37704709,00247931,Ramer Lake,0.713684070000000,-115.513368860000000,33.079109649999999
44555670,00265554,Rollins Reservoir,3.030652150000000,-120.940427249999999,39.151997919999999
77253487,00268775,Ward Lake,0.031000000000000,-118.987903020000005,37.300836380000000
60570336,00265975,Secret Lake,0.023555800000000,-119.538723680000004,38.307176560000002
60572806,00226668,Koenig Lake,0.028460610000000,-119.628302869999999,38.281612879999997
61227671,00274834,Gerle Creek Divide Reservoir,0.183000000000000,-120.393068020000001,38.969237350000000
63434896,00268592,Union Valley Reservoir,11.067000000000000,-120.404121329999995,38.861044470000003
66755537,01664725,Middle Emigrant Lake,0.093000000000000,-119.654662009999996,38.190342970000003
66758747,00218277,Andrews Lake,0.014358690000000,-119.690329950000006,38.038990009999999
77251691,00259127,Deadhorse Lake,0.039054030000000,-119.160642429999996,37.651608340000003
77254117,00266393,Aweetasal Lake,0.043000000000000,-118.807134399999995,37.293253380000003
77252697,00257050,Bighorn Lake,0.122029950000000,-118.878029540000000,37.469205559999999
77253619,00268679,Vee Lake,0.199000000000000,-118.807217629999997,37.320567339999997
77255765,00262956,Lost Lakes,0.035000000000000,-118.685803170000000,37.220637459999999
110180912,00262597,Little Elk Lake,0.020000000000000,-123.132920720000001,41.563231969999997
65204681,00861856,Virginia Lake,0.103000000000000,-119.806609530000003,39.500715550000002
113306237,00219209,Big Lagoon,5.762486600000000,-124.115781530000007,41.178630679999998
77253683,00265817,Sandpiper Lake,0.073000000000000,-118.852927170000001,37.309030630000002
77256341,00260002,Evolution Lake,0.246881320000000,-118.698314870000004,37.170095709999998
77254247,00261905,Jawbone Lake,0.033268230000000,-118.801315070000001,37.288344490000000
77253497,00257097,Black Bear Lake,0.075000000000000,-118.794788780000005,37.337001890000003
77255499,00264447,Payne Lake,0.120000000000000,-118.729315869999994,37.230683409999997
77253053,01667644,Pryor Lake,0.043000000000000,-119.186727970000007,37.319106689999998
77253207,00261350,Hilgard Lake,0.037000000000000,-118.839471689999996,37.367092550000002
77254365,00264336,Tubbe Paa Lake,0.024000000000000,-118.827635479999998,37.273284130000000
77252609,00268791,Warrior Lake,0.104000000000000,-118.918217139999996,37.474198999999999
77255681,00260634,Goethe Lake,0.229000000000000,-118.703611190000004,37.221046000000001
77254781,00263469,Mesa Lake,0.118000000000000,-118.720462249999997,37.267679410000000
77253547,00260717,Gordon Lake,0.025000000000000,-118.917969450000001,37.306824509999998
77254935,00258840,Coyote Lake,0.257000000000000,-119.090240539999996,37.185582650000001
77252733,00265583,Rosy Finch Lake,0.138000000000000,-118.870750580000006,37.464958979999999
77253343,00261842,Lake Italy,0.444000000000000,-118.806302180000003,37.358049700000002
77251363,00257250,Blue Lake,0.049000000000000,-119.282400109999998,37.679946540000003
77252889,00260679,Golden Lake,0.110000000000000,-118.765991400000004,37.450456580000001
77252771,00259296,Devils Bathtub,0.330745840000000,-118.997001370000007,37.432271970000002
77253521,00256882,Big Bear Lake,0.050000000000000,-118.801635289999993,37.332346630000004
77253261,01667642,Portal Forebay,0.063661410000000,-119.069358510000001,37.318825500000003
62407329,00267634,Damalusung Lake,0.017980980000000,-120.652616260000002,39.668873089999998
63418276,00261676,Ice House Reservoir,2.623564240000000,-120.343107579999995,38.824716819999999
77255219,00255140,Thompson Lake,0.028000000000000,-118.958078119999996,37.202400670000003
77251191,00268247,Thousand Island Lake,1.341946480000000,-119.181426459999997,37.722182830000001
120026397,00234004,Lake Hennessey,3.086056630000000,-122.372382630000004,38.489974719999999
120025171,00271765,Jameson Lake,0.497296510000000,-119.500832610000003,34.488947799999998
77254469,01667310,Alsace Lake,0.194000000000000,-118.749131300000002,37.282244310000003
77254891,00268342,Tomahawk Lake,0.095000000000000,-118.726924969999999,37.257680590000000
77256777,00263334,Lake McDermand,0.089220960000000,-118.680875810000003,37.119585520000001
77251421,00265516,Rockbound Lake,0.034000000000000,-119.280282499999998,37.669343599999998
77253539,00256746,Bear Paw Lake,0.046000000000000,-118.794106839999998,37.331146660000002
77252935,00268221,Third Recess Lake,0.071000000000000,-118.802932339999998,37.422950849999999
77251537,00265717,Sadler Lake,0.070000000000000,-119.303951900000001,37.642496819999998
124658277,00005175,Goose Lake,11.042519499999999,-114.506313840000004,34.775878280000001
77254883,00263016,Lower Honeymoon Lake,0.042000000000000,-118.766495809999995,37.252148300000002
77251331,00258083,Lake Catherine,0.124000000000000,-119.207505530000006,37.699189529999998
77253639,00265638,Royce Lakes,0.281000000000000,-118.765251719999995,37.326888429999997
37704733,00242255,Finney Lake,0.133196170000000,-115.496519430000006,33.054629849999998
83410500,00256349,Ashurst Lake,0.312000000000000,-120.964443500000002,40.748183750000003
